example_id,conversation_id,tweet_id,customer_message,conversation_context,gold_intent,gold_reply_quality,gold_grounding_quality,gold_escalation,escalation_reason,annotator_notes,review_status
GOLD-001,119248,119250,"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",,,,,,,,Pending
GOLD-002,119248,119249,"@105838 @AppleSupport Me too am suffering , hope the can find a solution","@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",,,,,,,Pending
GOLD-003,119269,119272,You’ve paralysed my phone with your update @76099 grrrrrrrrrr,,,,,,,,Pending
GOLD-004,119323,119326,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,,,,,,,,Pending
GOLD-005,119300,119301,@76099 @AppleSupport fix this update. It’s horrible,,,,,,,,Pending
GOLD-006,119293,119294,"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",,,,,,,,Pending
GOLD-007,119289,119292,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,,,,,,,,Pending
GOLD-008,119289,119290,@AppleSupport Latest version 😡😡 I have read the help page turned off virtually all apps and location svs too - but in typing this I dropped 3% life,@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,,,,,,,Pending
GOLD-009,119252,119253,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,,,,,,,,Pending
GOLD-010,119323,119324,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,,,,,,,Pending
GOLD-011,119267,119268,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,,,,,,,,Pending
GOLD-012,119279,119280,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,,,,,,,,Pending
GOLD-013,119289,119291,@AppleSupport Super help - problem solved 😀 once again in love with Apple,@AppleSupport Latest version 😡😡 I have read the help page turned off virtually all apps and location svs too - but in typing this I dropped 3% life,,,,,,,Pending
GOLD-014,119298,119299,@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,,,,,,,,Pending
GOLD-015,119262,119263,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",,,,,,,,Pending
GOLD-016,119269,119270,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,,,,,,,Pending
